longitude,latitude
-46708912,-23571011
-46709209,-23570910
-46709209,-23570910
-46708050,-23567780
-46708050,-23567780
-46707748,-23567770
-46707619,-23567680
-46707569,-23567579
-46707588,-23567280
-46707741,-23567150
-46707909,-23567101
-46708000,-23567120
-46708191,-23567249
-46712681,-23564989
-46712681,-23564989
-46712749,-23564631
-46712872,-23564529
-46713219,-23564470
-46713428,-23564541
-46713428,-23564541
-46714001,-23564341
-46714481,-23564110
-46718288,-23562180
-46718288,-23562180
-46718288,-23562031
-46718399,-23561840
-46718632,-23561720
-46718842,-23561710
-46718960,-23561729
-46719109,-23561831
-46719212,-23562031
-46719231,-23562210
-46719231,-23562210
-46720798,-23563101
-46720798,-23563101
-46721111,-23562990
-46721230,-23562990
-46721470,-23563101
-46721470,-23563101
-46722618,-23562599
-46725471,-23561110
-46726349,-23560600
-46733898,-23557011
-46733898,-23557011
-46733921,-23556761
-46734089,-23556629
-46734211,-23556620
-46734661,-23556860
-46734749,-23557030
-46734711,-23557199
-46735512,-23557640
-46735458,-23557619
-46738171,-23559139
-46738350,-23559050
-46738621,-23559130
-46738670,-23559330
-46739021,-23559561
-46742378,-23559610
-46742569,-23559660
-46743111,-23560061
-46743111,-23560061
-46743179,-23560101
-46743191,-23560221
-46742241,-23561470
-46741619,-23562490
-46741550,-23562740
-46741539,-23563030
-46741611,-23563181
-46741611,-23563181
-46741661,-23563351
-46741409,-23563520
-46739521,-23564590
-46738579,-23566120
-46738041,-23566690
-46737652,-23566990
-46735550,-23568251
-46735550,-23568251
-46735500,-23568430
-46735561,-23568529
-46736031,-23568890
-46736401,-23569090
-46737080,-23569220
-46737419,-23569189
-46737888,-23569050
-46739128,-23568460
-46739922,-23568140
-46739922,-23568140
-46740002,-23568041
-46740250,-23568020
-46740372,-23568119
-46740349,-23568340
-46740108,-23568439
-46739700,-23568331
-46739159,-23568510
-46737900,-23569111
-46737270,-23569281
-46736900,-23569260
-46736439,-23569160
-46736019,-23568960
-46735519,-23568590
-46735371,-23568560
-46734890,-23568590
-46734890,-23568590
-46734409,-23568911
-46733822,-23569071
-46733459,-23569071
-46732941,-23568859
-46732071,-23568371
-46731628,-23568270
-46730591,-23568300
-46729900,-23568239
-46729630,-23568300
-46729500,-23568270
-46729389,-23568159
-46729309,-23567980
-46729309,-23567980
-46729382,-23567671
-46729591,-23567520
-46729858,-23567499
-46730110,-23567680
-46730110,-23567680
-46730450,-23566891
-46730381,-23566509
-46730080,-23565540
-46729881,-23565260
-46729622,-23565050
-46729080,-23564871
-46729000,-23564671
-46728920,-23564270
-46729118,-23563540
-46729099,-23562710
-46729271,-23562120
-46730438,-23560930
-46730831,-23560610
-46731400,-23560390
-46731400,-23560390
-46731331,-23560169
-46731411,-23560020
-46732761,-23559750
-46732761,-23559750
-46735691,-23559481
-46735909,-23559370
-46738152,-23559349
-46738152,-23559349
-46738121,-23559250
-46738171,-23559139
-46736858,-23558380
-46734711,-23557199
-46734661,-23557270
-46734390,-23557301
-46734081,-23557171
-46733898,-23557011
-46733921,-23556761
-46734089,-23556629
-46734211,-23556620
-46733360,-23555290
-46731251,-23551491
-46731251,-23551491
-46728760,-23552691
-46725430,-23554399
-46725430,-23554399
-46725670,-23554979
-46727901,-23558920
-46727901,-23558920
-46727669,-23559071
-46725231,-23554689
-46724979,-23554621
-46724979,-23554621
-46723309,-23555630
-46719372,-23557581
-46717941,-23558050
-46714439,-23559719
-46713730,-23560181
-46713428,-23560539
-46713219,-23561001
-46713070,-23561790
-46712978,-23564301
-46713009,-23564480
-46713009,-23564480
-46713219,-23564470
-46713428,-23564541
-46713428,-23564541
-46713558,-23564800
-46713470,-23565140
-46713280,-23565281
-46713131,-23565319
-46712830,-23565241
-46712830,-23565241
-46712669,-23565260
-46711842,-23565590
-46711842,-23565590
-46711739,-23567110
-46711651,-23570129
-46711559,-23571260
-46711151,-23573339
-46711151,-23573339
-46710209,-23573669
-46710209,-23573669
-46709412,-23571409
