latitude,longitude,codigo,descricao
-23563525,-46712768,Parada de Onibus,Parada
-23560891,-46717775,Parada de Onibus,Parada
-23556788,-46720656,Parada de Onibus,Parada
-23557851,-46732407,Parada de Onibus,Parada
-23558052,-46732508,Parada de Onibus,Parada
-23564111,-46722622,Parada de Onibus,Parada
-23565363,-46724765,Parada de Onibus,Parada
-23565990,-46725300,Parada de Onibus,Parada
-23560795,-46730712,Parada de Onibus,Parada
-23559772,-46733964,Parada de Onibus,Parada
-23559701,-46737648,Parada de Onibus,Parada
-23563853,-46741287,Parada de Onibus,Parada
